,ID,aspect,strdist,basarea,basin,curvature,curve_cont,curve_prof,curves,drop,rockdist,flowdir,fos,lith,elev,cohesion,slide,scarpdist,scarps,frictang,slope,slopeleg,woods,specwt
2,3,265.2971,644.9806,65600,1,-2.156464,0.6360565,-1.520407,0.214373,25.0,0,16,1.31829,5,1057.005,10,1,28.28427,0.0,23,15.3465,2024.026,1,19
3,4,267.3936,647.7654,65600,1,2.61673,-2.301352,0.3153775,0.1357629,40.0,0,16,1.094124,5,1065.42,10,1,20.0,0.0,23,12.92921,2015.106,1,19
6,7,272.0991,625.14,65600,1,0.02902222,-0.07380137,-0.04477916,0.1649545,25.0,0,16,1.029149,5,1058.138,10,1,20.0,0.0,23,16.34302,1985.669,1,19
7,8,272.9689,628.0128,65600,1,-1.793457,0.8819597,-0.9114974,0.2156545,25.0,0,16,1.048767,5,1063.369,10,1,20.0,0.0,23,16.76664,1976.543,1,19
8,9,261.2346,631.5062,65600,1,2.723572,-2.240553,0.4830188,0.1421641,42.5,0,16,1.007705,5,1072.22,10,1,20.0,0.0,23,13.31464,1968.201,1,19
11,12,287.941,602.9926,65600,1,0.3804321,-0.1766265,0.2038056,0.2011942,37.5,0,16,0.7184405,5,1054.888,10,0,0.0,1.0,23,17.3753,1957.517,1,19
12,13,298.5974,605.3098,65600,1,-1.952148,1.037233,-0.9149151,0.1982044,20.0,0,32,0.6845471,5,1059.088,10,0,0.0,1.0,23,17.0501,1947.396,1,19
13,14,291.1888,608.2762,65600,1,-1.282166,0.1886546,-1.093511,0.2149084,27.5,0,16,0.6552235,5,1064.872,10,0,0.0,1.0,23,17.74533,1938.055,1,19
14,15,290.8967,611.8823,65600,1,-2.048645,0.3115831,-1.737062,0.1794606,25.0,0,16,0.6539118,5,1070.177,10,0,0.0,1.0,23,14.2244,1929.51,1,19
15,16,294.2935,616.1169,65600,1,0.4942627,-0.4439397,0.05032293,0.1062638,27.5,0,16,0.7540509,5,1075.828,10,1,0.0,1.0,23,8.867694,1921.777,1,19
17,18,277.5889,580.3447,65600,1,-2.126312,1.593987,-0.5323251,0.1906276,15.0,0,16,1.472132,5,1039.947,10,0,44.72136,0.0,23,15.6951,1942.596,1,19
18,19,286.7692,581.3777,65600,1,-2.09317,1.020806,-1.072364,0.2955097,40.0,0,16,0.7599325,5,1047.997,10,0,28.28427,0.0,23,24.92224,1930.705,1,19
19,20,301.8098,583.0952,65600,1,-0.2137451,0.4567081,0.242963,0.3147618,52.5,0,16,0.5725784,5,1058.66,10,0,20.0,0.0,23,26.16937,1919.571,1,19
20,21,319.6433,585.4913,65600,1,-0.9646606,1.558219,0.5935581,0.3453054,40.0,0,32,0.5003564,5,1066.263,10,0,20.0,0.0,23,27.35664,1909.213,1,19
21,22,330.2387,588.5576,65600,1,-1.941315,1.953811,0.01249663,0.3626096,45.0,0,32,0.4614813,5,1071.981,10,0,0.0,0.0,23,27.41235,1899.647,1,19
22,23,333.5379,592.2837,65600,1,-1.92334,1.400651,-0.5226887,0.3099237,38.33333,0,32,1.601192,1,1075.984,50,0,20.0,0.0,45,23.73616,1890.89,1,25
23,24,330.9659,596.6573,65600,1,-2.206146,1.126661,-1.079486,0.2559267,31.66667,0,32,1.630037,1,1079.501,50,0,0.0,1.0,45,20.26849,1882.96,1,25
24,25,331.6224,601.6644,65600,1,-1.606598,0.4676649,-1.138933,0.1783739,30.0,0,32,1.761862,1,1084.426,50,0,0.0,1.0,45,14.73793,1875.871,1,25
26,27,303.7343,560.3571,65600,1,-1.648865,1.102215,-0.5466501,0.3010343,32.5,0,16,0.9785895,5,1044.303,10,0,56.56854,0.0,23,23.55122,1905.285,1,19
27,28,300.5201,561.4268,65600,1,-0.425293,0.566996,0.141703,0.3613763,50.0,0,32,0.64779,5,1054.443,10,0,40.0,0.0,23,31.39937,1893.125,1,19
28,29,306.5622,563.2051,65600,1,-0.4414063,1.140597,0.6991909,0.4053374,63.33333,0,32,0.5292543,5,1066.348,10,0,20.0,0.0,23,36.15763,1881.732,1,19
